관리비_index,회원_index,청구년월,납부상태,합계금액,전기세,수도세,가스비,일반관리비,공동전기료,승강기전기료,청소비,경비비,수선유지비
1,1,20230401,True,160409,36381,9675,20812,40220,13466,7759,16971,11285,3840
2,1,20230501,True,159153,32322,9435,23010,40077,13671,7185,17618,11669,4166
3,1,20230601,True,161175,33945,10402,22825,39537,13946,7450,17278,11587,4205
4,1,20230701,True,158702,32480,10555,20747,40184,13730,7588,17728,11623,4067
5,1,20230801,True,162576,34847,10899,23695,40010,13364,7202,17209,11477,3873
6,1,20230901,True,160845,34755,9973,23376,38847,13516,7682,17130,11491,4075
7,1,20231001,True,161248,35751,10680,20909,40016,13630,7437,17394,11472,3959
8,1,20231101,True,162942,34157,10582,23704,39356,14045,7718,17668,11724,3988
9,1,20231201,True,157142,32454,10231,21064,39235,13927,7425,17275,11611,3920
10,1,20240101,True,162207,33376,9699,23064,40931,13891,7727,17650,11809,4060
11,1,20240201,True,165221,36434,10295,22709,40711,14009,7957,17394,11449,4263
12,1,20240301,True,163134,35448,10324,23128,39731,13683,7268,17408,12002,4142
13,1,20240401,True,162542,33603,9553,23552,40922,13740,7705,17830,11702,3935
14,1,20240501,True,162999,34025,10457,22622,41070,13864,7699,17517,11636,4109
15,1,20240601,True,165400,36358,10856,22680,40433,13752,7401,17830,12038,4052
16,1,20240701,True,164273,35876,10056,22979,40178,13746,7365,18227,11831,4015
17,1,20240801,True,159794,33039,9776,22664,39627,13650,7544,17471,11921,4102
18,1,20240901,True,162982,34273,10599,21996,41110,13935,7757,17461,11797,4054
19,1,20241001,True,165116,36501,9384,20824,41593,14034,8111,18298,12101,4270
20,1,20241101,False,160737,31368,9604,23905,39674,14192,7773,18072,11930,4219
21,1,20241201,True,164250,36635,9734,21833,40260,14161,7806,17595,11890,4336
22,1,20250101,True,168164,36411,10726,24008,40709,14404,7469,18308,11808,4321
23,1,20250201,True,163002,34384,10316,21039,40874,13885,7607,18373,12190,4334
24,1,20250301,True,162555,32129,9816,23902,40533,14233,7993,18132,11783,4034
25,1,20250401,True,163092,32673,9874,22753,41549,14187,7647,18316,12029,4064
26,1,20250501,True,159892,32462,9509,21868,40063,14059,7708,17664,12288,4271
27,1,20250601,True,166453,33936,10851,23230,41930,14442,8121,17954,11787,4202
28,1,20250701,True,161501,31798,10432,20834,42000,14548,7662,17784,12064,4379
29,1,20250801,True,164970,33355,10657,24018,40410,14441,7518,18430,11870,4271
30,1,20250901,True,168354,36066,10092,24048,41314,14316,8144,18007,12338,4029
31,1,20251001,True,167608,35470,10604,23758,41277,14100,7767,18287,12273,4072
32,1,20251101,True,164483,34728,10415,20894,40889,14195,8291,18733,12246,4092
33,1,20251201,True,163198,33017,10305,21876,41448,14366,7879,17968,12009,4330
34,1,20260101,True,164834,32113,10483,24290,41311,14441,7987,18098,12026,4085
35,1,20260201,True,165279,35375,10322,21024,40827,14496,8306,18127,12463,4339
36,1,20260301,True,166003,35557,9625,21910,42535,14118,7685,18166,12340,4067
37,1,20260401,True,166012,35334,10278,21645,41263,14186,7874,18837,12301,4294
38,1,20260501,True,167018,33643,10522,23443,41871,14680,7936,18751,12089,4083
39,1,20260601,True,163824,32357,10029,22756,41156,14449,7897,18429,12279,4472
40,1,20260701,True,169255,36704,10239,21572,42548,14649,8397,18976,12074,4096
41,1,20260801,True,166637,33619,10501,22773,41935,14431,7918,18895,12186,4379
42,1,20260901,True,164157,33529,9980,21385,41559,14535,8180,18520,12225,4244
43,2,20241001,True,234711,70715,21280,41198,41593,14034,9709,18298,12101,5783
44,2,20241101,True,237647,72550,21388,44357,39674,14192,9647,18072,11930,5837
45,2,20241201,True,236774,73683,19530,44790,40260,14161,8869,17595,11890,5996
46,2,20250101,True,236523,71522,19048,45167,40709,14404,9327,18308,11808,6230
47,2,20250201,True,236541,70335,19250,45813,40874,13885,9499,18373,12190,6322
48,2,20250301,True,230930,67269,21393,42143,40533,14233,9562,18132,11783,5882
49,2,20250401,True,231542,67143,21183,41494,41549,14187,9292,18316,12029,6349
50,2,20250501,True,236681,71763,20559,44356,40063,14059,9767,17664,12288,6162
51,2,20250601,True,236266,71153,20949,42641,41930,14442,9542,17954,11787,5868
52,2,20250701,True,231623,69295,19601,40438,42000,14548,9781,17784,12064,6112
53,2,20250801,True,234819,71169,19653,43256,40410,14441,9578,18430,11870,6012
54,2,20250901,True,231532,64215,20923,44634,41314,14316,9623,18007,12338,6162
55,2,20251001,True,229970,67456,19120,42055,41277,14100,9162,18287,12273,6240
56,2,20251101,True,234992,67747,21966,43559,40889,14195,9355,18733,12246,6302
57,2,20251201,True,239151,73458,20349,44175,41448,14366,9176,17968,12009,6202
58,2,20260101,True,233184,65675,21923,43922,41311,14441,9412,18098,12026,6376
59,2,20260201,True,229082,63918,21778,42142,40827,14496,9330,18127,12463,6001
60,2,20260301,True,238529,71698,18827,44782,42535,14118,9806,18166,12340,6257
61,2,20260401,True,237797,66817,22018,46830,41263,14186,9380,18837,12301,6165
62,2,20260501,True,229830,64164,19609,42714,41871,14680,9733,18751,12089,6219
63,2,20260601,True,245571,74413,21849,46625,41156,14449,9863,18429,12279,6508
64,2,20260701,True,232681,67253,20050,40975,42548,14649,9824,18976,12074,6332
65,2,20260801,True,239500,69228,20980,46094,41935,14431,9406,18895,12186,6345
66,2,20260901,True,234294,68087,20637,42988,41559,14535,9744,18520,12225,5999
67,3,20260301,True,155982,30505,9125,18351,42535,14118,6724,18166,12340,4118
68,3,20260401,True,156171,30388,9470,18571,41263,14186,6859,18837,12301,4296
69,3,20260501,True,160087,30904,9786,20777,41871,14680,6908,18751,12089,4321
70,3,20260601,True,159298,31963,9597,19987,41156,14449,7051,18429,12279,4387
71,3,20260701,True,155935,28358,8563,19602,42548,14649,6802,18976,12074,4363
72,3,20260801,False,155144,28483,9699,18394,41935,14431,6853,18895,12186,4268
73,3,20260901,True,157497,29129,9896,20938,41559,14535,6519,18520,12225,4176
74,4,20260501,True,201652,50925,15982,33211,41871,14680,10208,18751,12089,3935
75,4,20260601,False,191834,46271,14441,30584,41156,14449,10147,18429,12279,4078
76,4,20260701,True,204446,52809,15484,33049,42548,14649,10788,18976,12074,4069
77,4,20260801,True,196137,49755,14545,30035,41935,14431,10427,18895,12186,3928
78,4,20260901,True,200821,51193,14310,34299,41559,14535,10158,18520,12225,4022
79,5,20260101,True,150984,28670,7595,17675,41311,14441,6394,18098,12026,4774
80,5,20260201,True,149251,26493,7649,17736,40827,14496,6719,18127,12463,4741
81,5,20260301,True,154486,29905,8576,17200,42535,14118,6635,18166,12340,5011
82,5,20260401,True,149328,26668,7621,17069,41263,14186,6687,18837,12301,4696
83,5,20260501,True,153211,27727,8149,18541,41871,14680,6576,18751,12089,4827
84,5,20260601,True,154454,29736,7907,18795,41156,14449,6972,18429,12279,4731
